Time Step;Label Index;Name (NA);Voxel count;Volume (mm³);Center Of Mass X (mm);Center Of Mass Y (mm);Center Of Mass Z (mm)
0;1;;1.0;6.177438113529436e-11;0.8974479099160134;0.37602082397129927;0.12375886797409048
0;2;;1.0;6.177438113529436e-11;1.5912394187324777;0.3635308364975707;0.12455484749409047
0;3;;1.0;6.177438113529436e-11;1.4690597685613322;1.30120753245362;0.12535082701409048
0;4;;1.0;6.177438113529436e-11;1.3347739561436587;0.7723855780943714;0.11739103181409048
0;5;;1.0;6.177438113529436e-11;0.7844173779039904;0.9276104926066572;0.12137092941409049
0;6;;1.0;6.177438113529436e-11;0.7910427771508236;0.4037927601426143;0.11659505229409048
0;7;;1.0;6.177438113529436e-11;1.2148862158053844;1.1174033887845092;0.12057494989409048
0;8;;1.0;6.177438113529436e-11;1.6368720209340837;0.4413950593117509;0.12375886797409048
0;9;;1.0;6.177438113529436e-11;0.8265605053396318;0.3136668061614491;0.11659505229409048
0;10;;1.0;6.177438113529436e-11;0.9449753417356264;1.193357318644302;0.1353005710140905
0;11;;1.0;6.177438113529436e-11;1.07018232570518;1.0883252210940093;0.13888247885409047
0;12;;1.0;6.177438113529436e-11;1.1168317845488787;0.38475256393595086;0.12734077581409048
0;13;;1.0;6.177438113529436e-11;0.8728238895501818;0.2658021182649778;0.1353005710140905
0;14;;1.0;6.177438113529436e-11;1.0248973986858456;1.276307798586204;0.12893273485409049
0;15;;1.0;6.177438113529436e-11;1.1450854435792963;0.2725002344012694;0.12734077581409048
0;16;;1.0;6.177438113529436e-11;0.8094391678406168;0.45311878050519516;0.11818701133409049
0;17;;1.0;6.177438113529436e-11;1.4484470635816906;0.27283894153315824;0.11420711373409048
0;18;;1.0;6.177438113529436e-11;1.6908472181772152;0.42631549899990745;0.1309226836540905
0;19;;1.0;6.177438113529436e-11;0.8576504736516724;0.3919993277150836;0.13370861197409048
0;20;;1.0;6.177438113529436e-11;0.9439760983454195;0.5819769421786957;0.12296288845409047
0;21;;1.0;6.177438113529436e-11;0.7485461763037969;0.7697780662200424;0.13888247885409047
0;22;;1.0;6.177438113529436e-11;1.684147251392962;0.4841770420295794;0.13808649933409048
0;23;;1.0;6.177438113529436e-11;1.4410573260974628;1.1202704606335463;0.1265447962940905
