Time Step;Label Index;Name (NA);Voxel count;Volume (mm³);Center Of Mass X (mm);Center Of Mass Y (mm);Center Of Mass Z (mm)
0;2605;;590.0;3.6446884869823684e-08;0.8010009339359742;0.5089381451301612;0.13096855366032775
0;2606;;591.0;3.6508659250958975e-08;0.9824557839660394;0.1831603748324468;0.12667274562471656
0;2607;;592.0;3.657043363209427e-08;1.0617929053437014;0.28616158914819917;0.13295095241409047
0;2608;;592.0;3.657043363209427e-08;0.7807781035794371;0.6438555655571007;0.11762700209409048
0;2609;;592.0;3.657043363209427e-08;1.4191572759715119;0.2609156802249607;0.11746431033409048
0;2610;;592.0;3.657043363209427e-08;1.107658740045188;0.40614295801462075;0.12029729825409048
0;2611;;592.0;3.657043363209427e-08;1.3554459913186536;0.480592624729262;0.13151765145409047
0;2612;;593.0;3.663220801322956e-08;0.9060109657253839;1.1819392946328096;0.12120180054474815
0;2613;;594.0;3.669398239436486e-08;1.391788898865249;1.237661538827809;0.12069287278594233
0;2614;;594.0;3.669398239436486e-08;0.7592316633837275;1.0125940184463047;0.12694010598836658
0;2615;;594.0;3.669398239436486e-08;1.2704667869706534;0.2369985436075664;0.13227678686109384
0;2616;;595.0;3.675575677550016e-08;0.9767978767475402;0.3209138585823544;0.12399431737832577
0;2617;;596.0;3.6817531156635455e-08;1.4586857289913864;0.5654527947261353;0.11670990839932538
0;2618;;596.0;3.6817531156635455e-08;1.4978474301376306;0.9491617747263564;0.133324645343218
0;2619;;596.0;3.6817531156635455e-08;0.8807360651256725;0.1665740875734067;0.11902238916925827
0;2620;;598.0;3.6941079918906044e-08;1.007394890032086;0.7313507274393197;0.12706457890706707
0;2621;;598.0;3.6941079918906044e-08;1.6002248887009372;0.34654875253460454;0.13501039787803695
0;2622;;599.0;3.7002854300041335e-08;1.33015071076496;0.4835850672615453;0.11635519536026744
0;2623;;599.0;3.7002854300041335e-08;1.0645240369098465;0.4480900535507301;0.13526402771392354
0;2624;;599.0;3.7002854300041335e-08;1.6405073923753208;0.3589925028930083;0.1245488676813359
0;2625;;600.0;3.7064628681176625e-08;0.9369902313465673;0.33170699851686;0.11840590570209047
0;2626;;601.0;3.712640306231192e-08;1.1054955682277268;0.1818079655709864;0.11547326418520529
0;2627;;602.0;3.7188177443447214e-08;1.0615733878515197;1.0565453398719682;0.13177155217874165
0;2628;;603.0;3.724995182458251e-08;0.9826590120407784;0.5225518552879803;0.11729796953190143
0;2629;;603.0;3.724995182458251e-08;1.214387539994013;0.19358728837851655;0.13304133561030937
0;2630;;603.0;3.724995182458251e-08;0.8750311572742917;0.1936447586337528;0.11919287600115515
0;2631;;603.0;3.724995182458251e-08;1.68469665393926;0.4246179582250571;0.13121573084055813
0;2632;;604.0;3.73117262057178e-08;1.665878482320032;0.43113743065389093;0.13901689923660704
0;2633;;604.0;3.73117262057178e-08;0.7280400409018248;0.3127898637758977;0.12788900011925605
0;2634;;605.0;3.73735005868531e-08;0.853648878309036;0.4062204851904251;0.1398514687986855
0;2635;;605.0;3.73735005868531e-08;1.6469891463365751;0.6833525129763585;0.12036773208516487
0;2636;;606.0;3.743527496798839e-08;1.105745646539316;1.1107361831134672;0.13467140568392547
0;2637;;608.0;3.755882373025898e-08;1.4420342652690208;1.0900330829768867;0.1391698431709326
0;2638;;609.0;3.7620598111394276e-08;1.445456633059037;0.8029727600412391;0.12879745754650426
0;2639;;609.0;3.7620598111394276e-08;1.444000374598612;0.30163650025968614;0.11557818518972265
0;2640;;609.0;3.7620598111394276e-08;0.7745895539755994;0.23311929484916574;0.13077695012949278
0;2641;;609.0;3.7620598111394276e-08;0.759027745557458;0.3212088098156604;0.1317898961524813
0;2642;;610.0;3.7682372492529574e-08;1.1351469048269283;0.2596274456768045;0.1301860763769757
0;2643;;610.0;3.7682372492529574e-08;1.3646516800881283;0.28768713528794926;0.12452744492045113
0;2644;;610.0;3.7682372492529574e-08;1.5189517677800137;0.46896232246532255;0.11450527983297572
0;2645;;611.0;3.774414687366487e-08;1.2411707859440004;0.15442489838079132;0.11994767634436872
0;2646;;612.0;3.780592125480016e-08;1.2122755951627942;1.2946411479422713;0.13416122777958067
0;2647;;612.0;3.780592125480016e-08;0.856850286014998;0.9855686103521477;0.1255095026700382
0;2648;;614.0;3.792947001707075e-08;1.0472706072087352;0.33907441158555535;0.12940137751936734
0;2649;;614.0;3.792947001707075e-08;1.2488767193772843;1.104637364884291;0.1343503218477061
